symbol,last,prev_close,pct_change,shortable_shares,vol_1m,vol_3m,vol_5m,vol_10m,vol_15m,vpm_1m,vpm_3m,vpm_5m,vpm_10m,vpm_15m,trades_1m,trades_3m,trades_5m,trades_10m,trades_15m,tpm_1m,tpm_3m,tpm_5m,tpm_10m,tpm_15m,vwap_5m,vwap_30m,vwap5_dist,vwap30_dist,accel,breakout_score,rsi14,macd,macd_signal,macd_hist,relvol,last_bar_time,last_close,data_status,missing_fields
LRHC,1.26,0.78,61.53846153846153,,33825.0,57307.0,75971.0,88392.0,141161.0,33825.0,19102.333333333332,15194.2,8839.2,9410.733333333334,81.0,121.0,161.0,206.0,307.0,81.0,40.333333333333336,32.2,20.6,20.466666666666665,1.1470333592204043,1.1462438552158165,0.09848592446899272,0.09924253400927965,3.826703774096883,155.18459129841398,52.75627058237007,0.0013885556287742684,-0.0002902160257110743,0.0016787716544853428,4.822257229821722,2026-01-08 19:59:00-05:00,1.15,OK,
OPAD,2.14,1.52,40.789473684210535,,61834.0,91316.0,146907.0,230514.0,313054.0,61834.0,30438.666666666668,29381.4,23051.4,20870.266666666666,96.0,185.0,306.0,503.0,686.0,96.0,61.666666666666664,61.2,50.3,45.733333333333334,2.3894022694629937,2.393328942904029,-0.10437851869917472,-0.10584794190331537,2.6824401120972396,126.74225439045013,53.23039906427548,0.0030721350063376285,0.004063811480980101,-0.0009916764746424724,3.7026125592062327,2026-01-08 19:59:00-05:00,2.4,OK,
SXTC,1.74,1.25,39.2,,28331.0,43338.0,54433.0,69914.0,176243.0,28331.0,14446.0,10886.6,6991.4,11749.533333333333,44.0,71.0,88.0,123.0,269.0,44.0,23.666666666666668,17.6,12.3,17.933333333333334,1.3964094979148678,1.4168200725555986,0.2460528251907373,0.22810230720508035,4.052264210315094,136.85094217413365,52.10562833790149,-0.012636449883559386,-0.01439231040795446,0.001755860524395074,2.8104338509917515,2026-01-08 19:59:00-05:00,1.42,OK,
CETX,4.04,2.9,39.31034482758621,,36776.0,65946.0,91262.0,131367.0,282255.0,36776.0,21982.0,18252.4,13136.7,18817.0,60.0,125.0,201.0,293.0,595.0,60.0,41.666666666666664,40.2,29.3,39.666666666666664,4.089022409473092,4.073539466259941,-0.011988784742172338,-0.008233494860609473,2.7994854111000627,110.20008363539,55.24824672072648,0.008186241519423376,0.0042500379597401276,0.003936203559683249,2.2367380700409933,2026-01-08 19:59:00-05:00,4.0903,OK,
OPEX,20.23,16.33,23.88242498469077,,0.0,0.0,4538.0,11414.0,11679.0,0.0,0.0,907.6,1141.4,778.6,0.0,0.0,20.0,41.0,43.0,0.0,0.0,4.0,4.1,2.8666666666666667,20.533333333333335,20.50577246910409,-0.014772727272727331,-0.013448528677453879,8.761170492370106e-13,0.0,73.37620111933956,0.04338060629701701,0.01027457667192178,0.033106029625095235,0.0,2026-01-08 19:59:00-05:00,20.54,OK,
WHLR,2.26,1.83,23.497267759562828,,22857.0,27815.0,36417.0,55513.0,62216.0,22857.0,9271.666666666666,7283.4,5551.3,4147.733333333334,50.0,81.0,108.0,161.0,175.0,50.0,27.0,21.6,16.1,11.666666666666666,2.217742651325846,2.2462209163720277,0.01905421652457773,0.0061343403614223775,4.117413939076771,186.357704058068,26.40076402206438,-0.013939415130621136,-0.006881337073014099,-0.007058078057607037,9.093874952754183,2026-01-08 19:59:00-05:00,2.1501,OK,
FEED,3.07,2.5,22.799999999999994,,6854.0,10936.0,11286.0,12178.0,15009.0,6854.0,3645.3333333333335,2257.2,1217.8,1000.6,12.0,21.0,22.0,28.0,35.0,12.0,7.0,4.4,2.8,2.3333333333333335,3.0149606296887,2.9662962146982044,0.018255419248039268,0.0349606977172192,5.628181967478546,208.9787268630011,71.62531398488947,0.015503589361448356,0.01196418820518115,0.003539401156267205,10.609085984056962,2026-01-08 19:59:00-05:00,3.02,OK,
LDI,2.99,2.44,22.54098360655739,,500.0,25289.0,36319.0,68480.0,85478.0,500.0,8429.666666666666,7263.8,6848.0,5698.533333333334,1.0,19.0,32.0,47.0,74.0,1.0,6.333333333333333,6.4,4.7,4.933333333333334,2.8675852602402783,2.8473312836565725,0.04268913690449946,0.05010611766966963,0.07301401869172415,5.1124322187804685,72.82611053394083,0.010452991200056161,0.00782180142492905,0.002631189775127111,0.10765885063411063,2026-01-08 19:59:00-05:00,2.89,OK,
ZCMD,0.6436,0.5288,21.709531013615713,,0.0,200.0,200.0,349.0,349.0,0.0,66.66666666666667,40.0,34.9,23.266666666666666,0.0,1.0,1.0,2.0,2.0,0.0,0.3333333333333333,0.2,0.2,0.13333333333333333,0.6,0.604269340974212,0.07266666666666663,0.06508796054815298,2.8653295128118824e-11,0.0,0.6879192678746193,-0.004377044828294596,-0.0029914949746509428,-0.0013855498536436534,0.0,2026-01-08 19:59:00-05:00,0.6,OK,
RENX,0.2319,0.1938,19.659442724458202,,115381.0,153401.0,242774.0,338846.0,458448.0,115381.0,51133.666666666664,48554.8,33884.6,30563.2,48.0,98.0,146.0,205.0,333.0,48.0,32.666666666666664,29.2,20.5,22.2,0.2612183950230804,0.2597622941898102,-0.11223709961348605,-0.10726073342057489,3.40511618847493,150.54019879717856,61.16930776935836,0.002001909786230327,0.0023885097150353777,-0.0003865999288050507,4.96270903585438,2026-01-08 19:59:00-05:00,0.2629,OK,
MKZR,5.73,4.8,19.375000000000014,,5577.0,7460.0,8607.0,12135.0,12979.0,5577.0,2486.6666666666665,1721.4,1213.5,865.2666666666667,6.0,10.0,14.0,18.0,22.0,6.0,3.3333333333333335,2.8,1.8,1.4666666666666666,6.111771813640061,6.075722106646228,-0.06246499792221207,-0.05690222504877933,4.595797280590363,203.43072901234484,72.10874094141947,0.004885372459281001,-0.00980879176561992,0.014694164224900922,11.723775488753416,2026-01-08 19:59:00-05:00,6.15,OK,
FTHM,1.55,1.3,19.23076923076923,,0.0,100.0,100.0,1990.0,1990.0,0.0,33.333333333333336,20.0,199.0,132.66666666666666,0.0,1.0,1.0,4.0,4.0,0.0,0.3333333333333333,0.2,0.4,0.26666666666666666,1.409,1.4230567685589521,0.1000709723207949,0.08920461519577749,5.025125628115452e-12,0.0,38.616516720082664,-0.0020612500918104626,0.0004378931255082857,-0.002499143217318748,0.0,2026-01-08 19:59:00-05:00,1.409,OK,
TDIC,0.23,0.1963,17.167600611309226,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1.0,,,2.3761020928603216e-11,3.49427262520864e-11,-1.1181705323483185e-11,,2026-01-08 19:59:00-05:00,0.198,PARTIAL,"breakout_score,relvol,rsi14,vwap30_dist,vwap5_dist,vwap_30m,vwap_5m"
