symbol,last,prev_close,pct_change,shortable_shares,vol_1m,vol_3m,vol_5m,vol_10m,vpm_1m,vpm_3m,vpm_5m,vpm_10m,trades_1m,trades_3m,trades_5m,trades_10m,tpm_1m,tpm_3m,tpm_5m,tpm_10m,vwap_30m,vpm_base,accel,breakout_score
ASBP,0.1311,0.1050,24.8571,NA,0.0000,333951.0000,611953.0000,1400932.0000,0.0000,111317.0000,122390.6000,140093.2000,0.0000,246.0000,394.0000,761.0000,0.0000,82.0000,78.8000,76.1000,0.1291,140093.2000,NA,23.7723
OCG,0.0216,0.0222,-2.7027,2084381.0000,0.0000,562177.0000,1156969.0000,2251270.0000,0.0000,187392.3333,231393.8000,225127.0000,0.0000,48.0000,142.0000,368.0000,0.0000,16.0000,28.4000,36.8000,0.0221,225127.0000,NA,-0.1812
GPUS,0.3728,0.2562,45.5113,5659897.0000,39646.0000,1929957.0000,3211200.0000,9603012.0000,39646.0000,643319.0000,642240.0000,960301.2000,21.0000,702.0000,1166.0000,3569.0000,21.0000,234.0000,233.2000,356.9000,0.3702,960301.2000,0.0413,50.5632
SOXS,2.4700,2.3800,3.7815,3465337.0000,399.0000,2437712.0000,2454763.0000,2867251.0000,399.0000,812570.6667,490952.6000,286725.1000,3.0000,276.0000,299.0000,421.0000,3.0000,92.0000,59.8000,42.1000,2.4702,286725.1000,0.0014,6.2706
LUCY,1.7850,1.1800,51.2712,NA,6312.0000,201427.0000,331831.0000,880008.0000,6312.0000,67142.3333,66366.2000,88000.8000,11.0000,438.0000,705.0000,1751.0000,11.0000,146.0000,141.0000,175.1000,1.7497,88000.8000,0.0717,47.0241
INTC,42.6500,40.0400,6.5185,68319888.0000,20985.0000,496776.0000,747031.0000,1750739.0000,20985.0000,165592.0000,149406.2000,175073.9000,33.0000,1547.0000,2374.0000,5451.0000,33.0000,515.6667,474.8000,545.1000,42.7520,175073.9000,0.1199,7.6174
NVDA,188.8300,187.2400,0.8492,188864097.0000,27645.0000,727170.0000,987835.0000,1668608.0000,27645.0000,242390.0000,197567.0000,166860.8000,73.0000,2041.0000,2784.0000,5030.0000,73.0000,680.3333,556.8000,503.0000,189.2953,166860.8000,0.1657,2.4329
ZSL,4.2000,3.9100,7.4169,4566589.0000,500.0000,269765.0000,466788.0000,914424.0000,500.0000,89921.6667,93357.6000,91442.4000,1.0000,96.0000,216.0000,388.0000,1.0000,32.0000,43.2000,38.8000,4.1916,91442.4000,0.0055,7.5896
ASST,1.0500,1.0400,0.9615,NA,8700.0000,205918.0000,459337.0000,1566699.0000,8700.0000,68639.3333,91867.4000,156669.9000,6.0000,176.0000,403.0000,1174.0000,6.0000,58.6667,80.6000,117.4000,1.0512,156669.9000,0.0555,2.4320
TZA,6.7300,6.6700,0.8996,NA,2208.0000,1824343.0000,2533838.0000,3587569.0000,2208.0000,608114.3333,506767.6000,358756.9000,4.0000,431.0000,608.0000,871.0000,4.0000,143.6667,121.6000,87.1000,6.7151,358756.9000,0.0062,4.3972
BYND,NA,NA,NA,NA,7592.0000,264790.0000,439780.0000,1322910.0000,7592.0000,88263.3333,87956.0000,132291.0000,10.0000,162.0000,321.0000,794.0000,10.0000,54.0000,64.2000,79.4000,1.0694,132291.0000,0.0574,NA
DVLT,NA,NA,NA,NA,52189.0000,302325.0000,816205.0000,1536447.0000,52189.0000,100775.0000,163241.0000,153644.7000,9.0000,208.0000,391.0000,734.0000,9.0000,69.3333,78.2000,73.4000,1.1755,153644.7000,0.3397,NA
OPEN,NA,NA,NA,NA,47222.0000,209643.0000,488357.0000,1793741.0000,47222.0000,69881.0000,97671.4000,179374.1000,32.0000,229.0000,538.0000,1728.0000,32.0000,76.3333,107.6000,172.8000,6.2142,179374.1000,0.2633,NA
SLV,NA,NA,NA,NA,11731.0000,206850.0000,431077.0000,1089307.0000,11731.0000,68950.0000,86215.4000,108930.7000,47.0000,867.0000,1648.0000,4375.0000,47.0000,289.0000,329.6000,437.5000,71.0476,108930.7000,0.1077,NA
SIDU,NA,NA,NA,NA,5260.0000,158804.0000,388750.0000,798036.0000,5260.0000,52934.6667,77750.0000,79803.6000,10.0000,186.0000,573.0000,1189.0000,10.0000,62.0000,114.6000,118.9000,4.5928,79803.6000,0.0659,NA
