symbol,last,pct_chg,rel_vol,vol_1m,vol_3m,vol_5m,vol_10m,vol_15m,trades_1m,trades_5m,trades_10m,trades_15m,shortable_shares,rsi_14,macd,macd_sig,macd_hist,vwap_5m,vwap_30m,vwap5_dist,vwap30_dist,_lastBarAgeSec,_prevClose
ANPA,81.0,234.71074380165285,0.7990411506192568,100.0,1000.0,1000.0,1408.0,1826.0,1.0,3.0,6.0,9.0,,100.0,-1.5527853962537392,-1.2253885225948924,-0.32739687365884684,80.496,79.08166866426954,0.006261180679785392,0.024257598102468872,0.0,24.2
NBY,18.3107,93.55919661733614,0.5788736809110856,100.0,2174.0,9234.0,15175.0,20406.0,1.0,22.0,40.0,59.0,,57.84605728875964,0.6478776784406008,0.761373642986647,-0.11349596454604616,18.469154212692228,18.784600447880752,-0.008579397349085732,-0.025228135631397804,0.0,9.46
VLN,2.54,62.82051282051282,1.889136331038053,35049.0,51491.0,58391.0,87890.0,115446.0,29.0,58.0,100.0,141.0,324750.0,100.0,0.00536749814023052,0.009763396303037925,-0.004395898162807405,2.5139642090961507,2.4929970961195926,0.010356468405415374,0.018853974580864335,0.0,1.56
GP,1.21,47.38124238733253,0.8242804468658852,0.0,5481.0,14978.0,38405.0,53277.0,0.0,40.0,103.0,132.0,,100.0,0.004875510568152164,0.008779310581268785,-0.0039038000131166213,1.2046643966706725,1.2179971236218883,0.004429120130115464,-0.006565798446311372,0.0,0.821
ATGL,28.61,37.349975996159394,1.7045454545454546,0.0,100.0,200.0,327.0,704.0,0.0,2.0,3.0,6.0,709070.0,41.24253764037683,-0.7150537670512591,-0.7803822347478094,0.06532846769655032,28.6,28.58925189393939,0.00034965034965028004,0.0007257309893095481,0.0,20.83
OPAD,2.06,35.526315789473685,0.5529851322010735,4368.0,5345.0,25087.0,50816.0,83111.0,17.0,51.0,109.0,143.0,,100.0,-0.04872923760761605,-0.04166006778129968,-0.00706916982631637,2.0400691872284447,2.0382595503044953,0.009769674919031834,0.01066618316212815,0.0,1.52
VCIG,0.8942,31.326185930386263,0.7505775436905189,1433.0,12000.0,21281.0,35314.0,44555.0,6.0,47.0,71.0,104.0,655912.0,52.85101254074181,0.011811061863882366,0.023128999264835505,-0.011317937400953139,0.8761238882884576,0.8642997746648875,0.02063191285293549,0.03459473924623621,0.0,0.6809
THH,28.0,29.509713228492128,0.0,0.0,0.0,0.0,205.0,205.0,0.0,0.0,1.0,1.0,,34.01816693707667,-0.04141856984796277,0.17613038892274477,-0.21754895877070754,,28.0,,0.0,0.0,21.62
APLX,113.0,34.68414779499403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4536.0,49.609587662163456,0.05354207636926844,0.19274293398558895,-0.1392008576163205,,112.99333333333334,,5.900053100472538e-05,0.0,83.9
ZNTL,4.37,53.87323943661973,2.7860221363388034,13106.0,99565.0,114740.0,133260.0,148081.0,55.0,358.0,389.0,424.0,335122.0,100.0,0.14424187454934856,0.11288634232815818,0.03135553222119038,4.304371870315496,4.178102255721252,0.015246854050204066,0.04592940347881009,0.0,2.84
APACR,0.17,23.188405797101446,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,100.0,-3.992743607134086e-05,-5.868542110719321e-05,1.8757985035852348e-05,,,,,,0.138
ELOG,1.5012,26.151260504201694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4561.0,100.0,0.012459025891457198,0.016861461096729626,-0.004402435205272427,,1.5056,,-0.002922422954303905,0.0,1.19
ZBAO,1.09,33.69311909726482,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60321.0,77.3810169512417,0.02647892516419259,0.030266287902171764,-0.0037873627379791733,,,,,0.0,0.8153
OPTX,4.5297,30.163793103448278,2.900763358778626,277.0,277.0,760.0,760.0,760.0,1.0,5.0,5.0,5.0,54270.0,53.815171884935985,0.013114462080556777,0.016574652053857233,-0.0034601899733004565,4.527754473684212,4.529813443596268,0.00042968900524442645,-2.5043767846188867e-05,0.0,3.48
