symbol,last,prev_close,pct_change,shortable_shares,vol_1m,vol_3m,vol_5m,vol_10m,vpm_1m,vpm_3m,vpm_5m,vpm_10m,trades_1m,trades_3m,trades_5m,trades_10m,tpm_1m,tpm_3m,tpm_5m,tpm_10m,vwap_30m,vpm_base,accel,breakout_score
SPY,690.6600,691.8100,-0.1662,13546939.0000,207351.0000,906712.0000,1337968.0000,2103553.0000,207351.0000,302237.3333,267593.6000,210355.3000,1973.0000,7819.0000,11539.0000,18571.0000,1973.0000,2606.3333,2307.8000,1857.1000,691.4404,210355.3000,0.9857,1.9540
ERAS,5.2250,3.6300,43.9394,6399298.0000,152240.0000,1409709.0000,2039214.0000,6241086.0000,152240.0000,469903.0000,407842.8000,624108.6000,417.0000,3227.0000,5124.0000,14157.0000,417.0000,1075.6667,1024.8000,1415.7000,5.3865,624108.6000,0.2439,45.7865
QQQ,624.8600,623.4200,0.2310,10626631.0000,137525.0000,535338.0000,674964.0000,993649.0000,137525.0000,178446.0000,134992.8000,99364.9000,1246.0000,4990.0000,6187.0000,9207.0000,1246.0000,1663.3333,1237.4000,920.7000,625.5829,99364.9000,1.3840,1.2015
INTC,42.5600,40.0400,6.2937,68327669.0000,207531.0000,683322.0000,933577.0000,1937285.0000,207531.0000,227774.0000,186715.4000,193728.5000,597.0000,2111.0000,2938.0000,6015.0000,597.0000,703.6667,587.6000,601.5000,42.7419,193728.5000,1.0712,7.6016
TSLA,436.1700,432.9600,0.7414,43118807.0000,80909.0000,306630.0000,438383.0000,877366.0000,80909.0000,102210.0000,87676.6000,87736.6000,651.0000,2382.0000,3568.0000,6950.0000,651.0000,794.0000,713.6000,695.0000,436.9346,87736.6000,0.9222,1.5446
COMP,12.3550,10.8300,14.0813,10102756.0000,152992.0000,485381.0000,757145.0000,1186950.0000,152992.0000,161793.6667,151429.0000,118695.0000,478.0000,1649.0000,2503.0000,4277.0000,478.0000,549.6667,500.6000,427.7000,12.4794,118695.0000,1.2890,13.8601
APLD,29.7800,30.2600,-1.5863,394579.0000,73504.0000,266517.0000,357094.0000,617548.0000,73504.0000,88839.0000,71418.8000,61754.8000,304.0000,994.0000,1402.0000,2446.0000,304.0000,331.3333,280.4000,244.6000,29.9552,61754.8000,1.1903,-0.8101
NFLX,91.0000,90.6500,0.3861,39575297.0000,23299.0000,130136.0000,258027.0000,465879.0000,23299.0000,43378.6667,51605.4000,46587.9000,516.0000,2320.0000,4530.0000,8130.0000,516.0000,773.3333,906.0000,813.0000,91.0220,46587.9000,0.5001,0.8134
XBI,127.0600,122.0900,4.0708,2148808.0000,61453.0000,241559.0000,362838.0000,737765.0000,61453.0000,80519.6667,72567.6000,73776.5000,355.0000,1349.0000,2154.0000,4421.0000,355.0000,449.6667,430.8000,442.1000,127.1326,73776.5000,0.8330,4.4015
HST,17.8100,18.2600,-2.4644,NA,7583.0000,339620.0000,371452.0000,497844.0000,7583.0000,113206.6667,74290.4000,49784.4000,32.0000,1190.0000,1301.0000,1810.0000,32.0000,396.6667,260.2000,181.0000,17.8417,49784.4000,0.1523,-1.7201
