symbol,rsi14,macd,macd_signal,macd_hist,relvol,last_bar_time,last_close
FLYX,55.477538331578835,0.42423897529951127,0.6100642435723556,-0.1858252682728443,,2026-01-08T19:00:00-05:00,6.4
CGTL,77.02445074958413,0.4051267171066999,0.367089948115467,0.03803676899123287,,2026-01-08T19:00:00-05:00,2.98
PAPL,65.55181438294241,0.1884394676202623,0.20286186057017622,-0.014422392949913904,10.751720487030175,2026-01-08T19:00:00-05:00,2.4
ELVN,72.3990295977686,1.5177758855526733,1.7270746462140292,-0.2092987606613559,,2026-01-08T19:00:00-05:00,23.69
UAVS,65.25773802819333,0.08578182539968937,0.09709888424277305,-0.011317058843083677,5.093245988639661,2026-01-08T19:00:00-05:00,1.7798
MRNO,63.79309335182863,0.09399907477426206,0.09573720540011729,-0.0017381306258552331,0.046975802242311626,2026-01-08T19:00:00-05:00,1.56
ACON,51.91213339532761,0.22715917031335753,0.3512438324790974,-0.12408466216573988,,2026-01-08T19:00:00-05:00,7.82
IPSC,71.53655261635656,0.11114483859856095,0.1211734719992124,-0.010028633400651452,2.55234297108674,2026-01-08T19:00:00-05:00,1.86
NVVE,57.69389718101425,0.18214513223802875,0.1836493289150878,-0.001504196677059061,0.003662512627290267,2026-01-08T19:00:00-05:00,4.68
PASW,57.986298226739535,0.016508792904290748,0.021208614828071494,-0.004699821923780746,,2026-01-08T19:00:00-05:00,0.6
GTEC,69.86492668961752,0.06462913262006298,0.06062994155636505,0.003999191063697928,,2026-01-08T19:00:00-05:00,1.07
TSE,78.17278642974692,0.04490932597267705,0.04436098238993379,0.0005483435827432631,,2026-01-08T19:00:00-05:00,0.8308
NEOG,64.03539916450526,0.33234472894579525,0.41161993160065247,-0.07927520265485721,5.0,2026-01-08T19:00:00-05:00,9.6
ASPC,49.93962808634286,0.11628460128600437,0.37217360545000694,-0.25588900416400256,,2026-01-08T19:00:00-05:00,20.26
JTAI,43.74067296171176,-0.009287983663654464,0.02018320134525339,-0.029471185008907854,24.584795321637426,2026-01-08T19:00:00-05:00,0.7
BW,68.35423516222932,0.30401952471087856,0.32505457454683817,-0.021035049835959607,,2026-01-08T19:00:00-05:00,7.66
EPSM,70.76421483452538,0.13105843133058714,0.11795216609158551,0.01310626523900163,,2026-01-08T19:00:00-05:00,2.64
KTUP,58.18048323108224,0.8324818635652207,1.150010066293778,-0.3175282027285573,,2026-01-08T19:00:00-05:00,42.6
ONDL,57.553246166628966,1.280873887516215,1.6726547963644405,-0.3917809088482256,,2026-01-08T19:00:00-05:00,51.1
CAPNR,,0.0,0.0,0.0,,2026-01-08T19:00:00-05:00,0.21
YYAI,59.41002474720232,0.03681625534666089,0.05046592566469277,-0.013649670318031881,0.5274867416893028,2026-01-08T19:00:00-05:00,1.2896
SLAI,63.62229992957661,0.04968946906195815,0.05521338519551246,-0.00552391613355431,1.8978494623655915,2026-01-08T19:00:00-05:00,1.03
MLTX,64.24734391682566,0.4616567508678884,0.5493211512184066,-0.08766440035051826,4.94,2026-01-08T19:00:00-05:00,14.7
BEG,66.0483343532513,0.9771221079004064,1.1593988579000987,-0.18227674999969223,,2026-01-08T19:00:00-05:00,25.74
CELG RT,72.04726569353053,0.010641708999561073,0.007592384723639786,0.0030493242759212866,,2026-01-08T19:00:00-05:00,0.1397
BEX,59.51669314380482,0.613119570431703,0.7352791497466042,-0.12215957931490129,0.5,2026-01-08T19:00:00-05:00,17.78
AGCC,75.88489593032713,0.7796060260832558,0.6400380492277308,0.13956797685552502,,2026-01-08T19:00:00-05:00,13.73
NUKK,63.3409536674412,0.17098034762442094,0.17164231807781552,-0.0006619704533945836,1.1164322059263694,2026-01-08T19:00:00-05:00,4.23
VNRX,65.06281420396056,0.010072793587478535,0.01114492408776238,-0.0010721305002838449,,2026-01-08T19:00:00-05:00,0.3596
ELWT,59.38812869302904,0.1331701851919158,0.14435527260711944,-0.011185087415203632,,2026-01-08T19:00:00-05:00,5.24
OPTT,58.36515811535919,0.015982962337892148,0.019083022563321384,-0.003100060225429236,0.0569799249898393,2026-01-08T19:00:00-05:00,0.5175
ZENA,59.18239517652537,0.13181055818862752,0.14991187795890729,-0.01810131977027976,0.7794647452393206,2026-01-08T19:00:00-05:00,4.02
PRZO,70.25185568209838,0.05560919676692744,0.05867887404753599,-0.00306967728060855,3.5950266429840143,2026-01-08T19:00:00-05:00,1.45
TRUG,65.1478413967408,0.04814183304847619,0.03813263521159693,0.010009197836879258,,2026-01-08T19:00:00-05:00,0.9378
WOK,53.44900990409673,0.03813749613353634,0.04741366062948982,-0.009276164495953476,1.795077850326469,2026-01-08T19:00:00-05:00,2.25
RILYP,68.86622383833415,0.26874591332851594,0.29061456094805194,-0.021868647619535997,,2026-01-08T19:00:00-05:00,7.01
SATL,62.612830656832344,0.12051923344485305,0.12713283864006292,-0.006613605195209871,3.449466804265566,2026-01-08T19:00:00-05:00,2.95
INHD,67.76832930672751,0.059005201157524834,0.05081160728930809,0.00819359386821674,0.1879728570314328,2026-01-08T19:00:00-05:00,1.55
INBS,61.145319650826224,0.5290531640705716,0.5994960814882406,-0.07044291741766906,0.09986684420772303,2026-01-08T19:00:00-05:00,14.5
FATBP,61.5952320072211,0.033754505194559914,0.03191351351993718,0.0018409916746227328,,2026-01-08T19:00:00-05:00,0.9
CASI,71.30659900833948,0.06172195583348594,0.03913136787579421,0.022590587957691734,,2026-01-08T19:00:00-05:00,1.18
LAB,59.05599879944307,0.03737661044172058,0.04699924657733414,-0.009622636135613559,,2026-01-08T19:00:00-05:00,1.5106
ARDX,73.47585888154904,0.2522686713577311,0.26589459762205336,-0.013625926264322241,1.1508951406649617,2026-01-08T19:00:00-05:00,7.12
ANTX,74.92841258570078,0.05470070805122074,0.05135327584205728,0.003347432209163455,,2026-01-08T19:00:00-05:00,1.33
LVRO,49.74356158995211,0.022099388863205283,0.029323807180070695,-0.007224418316865412,0.6961140125697087,2026-01-08T19:00:00-05:00,1.15
SPAI,59.87575115346659,0.1886611150336881,0.1908818778196818,-0.002220762785993702,,2026-01-08T19:00:00-05:00,5.6
MLACR,85.40636696698584,0.012510673556468288,0.009170670288015775,0.003340003268452513,,2026-01-08T19:00:00-05:00,0.34
EPRX,67.57728188742986,0.30783001671231247,0.2980097090210564,0.00982030769125608,,2026-01-08T19:00:00-05:00,8.59
CHAI,73.30066197057178,0.10151676716048774,0.10260185126939328,-0.0010850841089055374,,2026-01-08T19:00:00-05:00,2.4
ICON,68.00866363835915,0.14219804908766287,0.08776536016879544,0.05443268891886743,46.90050435580009,2026-01-08T19:00:00-05:00,3.81
