rank,symbol,description,last,ib_prev_close,yahoo_prev_close,pct_change,volume,shortable_shares,trade_rate,volume_rate,computed_volume_per_min,effective_volume_per_min,market_cap,float_shares
1,DXF,EASON TECHNOLOGY LIMITED,2.6,1.53,2.0,69.93,475.0,2849.0,0.0,0.0,0.0,0.0,2123555,1379408
2,BFRI,BIOFRONTERA INC,0.8041,0.57,0.72,41.07,1691.0,545822.0,0.0,350.0,0.0,350.0,6639544,9313999
3,AFJK,AIMEI HEALTH TECHNOLOGY CO,90.0,64.01,84.5,40.6,2.0,N/A,0.0,0.0,0.0,0.0,391852128,4396751
4,RUBI,RUBICO INC,1.47,1.07,1.09,37.38,3901.0,13992.0,0.0,2700.0,0.0,2700.0,2628041,102022
5,WTO,UTIME LTD-A,1.3,1.02,0.6332,27.45,6702.0,N/A,0.0,200.0,0.0,200.0,1983074,209829
6,CHOW,CHOWCHOW CLOUD INTERNATIONAL,0.7708,0.6081,0.6701,26.76,385.0,239487.0,0.0,0.0,0.0,0.0,21344310,10104250
7,SIDU,SIDUS SPACE INC-CL A,3.93,3.14,2.67,25.16,15123.0,N/A,0.0,2600.0,0.0,2600.0,171061824,35040228
8,FCHL,FITNESS CHAMPS HOLDINGS LTD,0.2858,0.2313,0.2483,23.56,9.0,335746.0,0.0,0.0,0.0,0.0,3932100,5451750
9,GVH,GLOBAVEND HOLDINGS LTD,1.77,1.44,2.93,22.92,173.0,N/A,0.0,0.0,0.0,0.0,2197602,72188
10,SOC,SABLE OFFSHORE CORP,10.92,9.02,8.75,21.06,1163.0,129260.0,0.0,0.0,0.0,0.0,1307555456,104708804
11,CWD,CALIBERCOS INC-CL A,1.5,1.24,1.435,20.97,26.0,434787.0,0.0,0.0,0.0,0.0,8069165,5436579
12,CHSN,CHANSON INTERNATIONAL HOLD-A,2.66,2.2,1.97,20.91,22.0,27594.0,0.0,0.0,0.0,0.0,85753320,231770
13,RITR,REITAR LOGTECH HOLDINGS LTD,1.39,1.15,1.37,20.87,3.0,248164.0,0.0,0.0,0.0,0.0,71818360,17293797
14,DVLT,DATAVAULT AI INC,0.7835,0.6521,0.5165,20.15,27841.0,973850.0,0.0,59800.0,14.994725949893576,59800.0,185990112,223054071
15,CUPR,CUPRINA HOLDINGS CAYMAN-A,0.4691,0.4001,0.3803,17.25,7.0,67570.0,0.0,0.0,0.0,0.0,8582145,7365072
16,MCRP,MICROPOLIS AI ROBOTICS,1.61,1.39,1.28,15.83,89.0,43867.0,0.0,0.0,0.0,0.0,48494944,8787353
17,SNSE,SENSEI BIOTHERAPEUTICS INC,12.21,10.67,8.8468,14.43,13.0,83523.0,0.0,0.0,0.0,0.0,13457975,854373
18,GOVX,GEOVAX LABS INC,0.1949,0.171,0.1719,13.98,11.0,1746018.0,0.0,0.0,0.0,0.0,7404929,29610006
19,MEHA,FUNCTIONAL BRANDS INC,0.2151,0.1892,0.2239,13.69,19.0,288369.0,0.0,0.0,0.0,0.0,3088410,14475701
20,LNKS,LINKERS INDUSTRIES LTD-A,0.3625,0.3195,0.3225,13.46,1.0,269947.0,0.0,0.0,0.0,0.0,4292482,5105434
21,GWH,ESS TECH INC,2.13,1.88,1.83,13.3,64.0,1320148.0,0.0,424.0,0.0,424.0,36880092,14495053
22,ASPC,A SPAC III ACQUISITION-CL A,26.45,23.42,27.87,12.94,1.0,N/A,0.0,0.0,0.0,0.0,54757856,1791732
23,CETX,CEMTREX INC,2.91,2.59,2.98,12.36,955.0,N/A,0.0,141.0,0.0,141.0,17901210,6911663
24,CENN,CENNTRO INC,0.1529,0.1361,0.141,12.34,17.0,738509.0,0.0,0.0,0.0,0.0,11964936,68280138
25,NCL,NORTHANN CORP,0.3061,0.2731,0.194,12.08,19591.0,N/A,0.0,3200.0,0.0,3200.0,6211141,12109356
26,MKDW,MKD TECH INC,0.179,0.1595,0.17,12.23,9.0,781100.0,0.0,0.0,0.0,0.0,22907286,143619342
27,BIDU,BAIDU INC - SPON ADR,146.51,130.66,132.38,12.13,1326.0,1764002.0,0.0,282.0,0.0,282.0,45548810240,2112775880
28,SLS,SELLAS LIFE SCIENCES GROUP I,4.22,3.77,3.31,11.94,542.0,N/A,0.0,141.0,0.0,141.0,555857216,141749970
29,ITP,IT TECH PACKAGING INC,0.2447,0.2187,0.2316,11.89,7.0,605144.0,0.0,0.0,0.0,0.0,3710337,16423714
30,KORU,DIREXION DAILY SO KOREA BULL,201.76,181.61,189.33,11.1,160.0,33729.0,0.0,0.0,0.0,0.0,N/A,N/A
31,DOJE,REX-OSPREY DOGE ETF,12.12,10.91,11.5034,11.09,17.0,55549.0,0.0,0.0,0.0,0.0,N/A,N/A
