symbol,provider,published_at,headline,url,source,summary,raw_id
SIDU,benzinga,"Fri, 02 Jan 2026 11:08:19 -0400","Sidus Space (SIDU) Rallies Friday Morning On Defense Win, $16M Funding",https://www.benzinga.com/trading-ideas/movers/26/01/49667728/sidus-space-sidu-rallies-friday-morning-on-defense-win-16m-funding,Benzinga,,49667728
SIDU,benzinga,"Fri, 02 Jan 2026 11:05:55 -0400",Sidus Space shares are trading higher. The stock may be rallying due to recent financing and contract developments.,https://www.benzinga.com/wiim/26/01/49667650/sidus-space-shares-are-trading-higher-the-stock-may-be-rallying-due-to-recent-financing-and-contract,Benzinga,,49667650
SIDU,benzinga,"Thu, 01 Jan 2026 10:00:40 -0400",Is Sidus Space Inc Gaining or Losing Market Support?,https://www.benzinga.com/insights/short-sellers/26/01/49659598/is-sidus-space-inc-gaining-or-losing-market-support,Benzinga,,49659598
SIDU,benzinga,"Wed, 31 Dec 2025 13:25:18 -0400","Sidus Space (SIDU) Stock Surges After $16.2M Capital Raise, Defense Contract Win",https://www.benzinga.com/trading-ideas/movers/25/12/49652252/sidus-space-sidu-stock-surges-after-16-2m-capital-raise-defense-contract-win,Benzinga,,49652252
MKDW,benzinga,"Fri, 02 Jan 2026 18:03:29 -0400","MKDWELL Tech To Repurchase 34,580,000 Ordinary Shares At A Price Of $0.203/Share, For An Aggregate Purchase Price Of ~$7M",https://www.benzinga.com/news/26/01/49678244/mkdwell-tech-to-repurchase-34-580-000-ordinary-shares-at-a-price-of-0-203share-for-an-aggregate-purc,Benzinga,,49678244
TQQQ,benzinga,"Fri, 02 Jan 2026 16:45:43 -0400",Here's How Much You Would Have Made Owning ProShares UltraPro QQQ Stock In The Last 15 Years,https://www.benzinga.com/insights/news/26/01/49676324/heres-how-much-you-would-have-made-owning-proshares-ultrapro-qqq-stock-in-the-last-15-years,Benzinga,,49676324
LVRO,benzinga,"Fri, 02 Jan 2026 12:15:23 -0400",Lavoro Shares Resume Trade,https://www.benzinga.com/trading-ideas/26/01/49669881/lavoro-shares-resume-trade,Benzinga,,49669881
LVRO,benzinga,"Fri, 02 Jan 2026 12:12:20 -0400","Lavoro Shares Halted On Circuit Breaker To The Upside, Stock Now Up 200%",https://www.benzinga.com/trading-ideas/26/01/49669792/lavoro-shares-halted-on-circuit-breaker-to-the-upside-stock-now-up-200,Benzinga,,49669792
TSLA,benzinga,"Fri, 02 Jan 2026 16:23:33 -0400",Tesla's Slowing Deliveries Are Stress-Testing EV ETF Design,https://www.benzinga.com/etfs/sector-etfs/26/01/49675837/tesla-slowing-deliveries-are-stress-testing-ev-etf-design,Benzinga,,49675837
TSLA,benzinga,"Fri, 02 Jan 2026 15:00:42 -0400","EXCLUSIVE: December's 12 Most-Searched Tickers On Benzinga Pro – Where Do Tesla, Micron, Apple Stock Rank",https://www.benzinga.com/trading-ideas/long-ideas/26/01/49674070/exclusive-decembers-12-most-searched-tickers-on-benzinga-pro-where-do-tesla-micron-apple-stock-rank,Benzinga,,49674070
TSLA,benzinga,"Fri, 02 Jan 2026 14:48:36 -0400",The Mag 7 Income Trade Is Here: Tuttle's New ETF Bets On Big Tech Volatility,https://www.benzinga.com/etfs/new-etfs/26/01/49673842/mag-7-income-trade-tuttle-new-etf-bets-on-big-tech-volatility,Benzinga,,49673842
TSLA,benzinga,"Fri, 02 Jan 2026 14:40:56 -0400","Michael Saylor Says Bitcoin Makes MSTR 'Interesting,' But Polymarket Aren't So Sure",https://www.benzinga.com/crypto/cryptocurrency/26/01/49673661/michael-saylor-says-bitcoin-makes-mstr-interesting-but-polymarket-arent-so-sure,Benzinga,,49673661
TSLA,benzinga,"Fri, 02 Jan 2026 13:35:24 -0400",10 Consumer Discretionary Stocks Whale Activity In Today's Session,https://www.benzinga.com/insights/options/26/01/49672055/10-consumer-discretionary-stocks-whale-activity-in-todays-session,Benzinga,,49672055
TSLA,benzinga,"Fri, 02 Jan 2026 13:31:52 -0400","Truist Securities Maintains Hold on Tesla, Lowers Price Target to $439",https://www.benzinga.com/news/26/01/49671980/truist-securities-maintains-hold-on-tesla-lowers-price-target-to-439,Benzinga,,49671980
TSLA,benzinga,"Fri, 02 Jan 2026 13:16:34 -0400","Retail Investors' Historic 2025 Streak: Record Inflows, Record Influence",https://www.benzinga.com/markets/tech/26/01/49671587/retail-investors-historic-2025-streak-record-inflows-record-influence,Benzinga,,49671587
TSLA,benzinga,"Fri, 02 Jan 2026 12:48:17 -0400","Elon Musk, Larry Ellison Lead As World's 10 Richest Add More 2025 Wealth Than Netflix, AT&T Combined",https://www.benzinga.com/markets/large-cap/26/01/49670762/elon-musk-larry-ellison-lead-as-worlds-10-richest-add-more-2025-wealth-than-netflix-att-combined,Benzinga,,49670762
TSLA,benzinga,"Fri, 02 Jan 2026 12:41:49 -0400",2026's Hidden Risk: Thematic ETFs In A Year Of Narrative Whiplash,https://www.benzinga.com/etfs/specialty-etfs/26/01/49670584/2026s-hidden-risk-thematic-etfs-in-a-year-of-narrative-whiplash,Benzinga,,49670584
TSLA,benzinga,"Fri, 02 Jan 2026 11:45:58 -0400","Tesla Deliveries Slide 16% In Q4, Energy Storage Hits Records",https://www.benzinga.com/markets/tech/26/01/49668953/tesla-deliveries-slide-16-in-q4-energy-storage-hits-records,Benzinga,,49668953
TSLA,benzinga,"Fri, 02 Jan 2026 12:08:53 -0400","Rivian Wraps 2025 With Fewer Deliveries, Investors Eye What's Next",https://www.benzinga.com/markets/tech/26/01/49669646/rivian-wraps-2025-with-fewer-deliveries-investors-eye-whats-next,Benzinga,,49669646
TSLA,benzinga,"Fri, 02 Jan 2026 11:00:45 -0400",Performance Comparison: Tesla And Competitors In Automobiles Industry,https://www.benzinga.com/insights/news/26/01/49667416/performance-comparison-tesla-and-competitors-in-automobiles-industry,Benzinga,,49667416
TSLA,benzinga,"Fri, 02 Jan 2026 10:21:59 -0400",Tesla's European Slump Worsens Despite Cheaper Models,https://www.benzinga.com/markets/tech/26/01/49666018/teslas-european-slump-worsens-despite-cheaper-models,Benzinga,,49666018
TSLA,benzinga,"Fri, 02 Jan 2026 10:07:03 -0400","Tesla 2025 Total Deliveries 1.64M Units, Production 1.65M Units; Tesla Inc 2025 Deliveries Visible Alpha Estimate Of 1.65M Units; Q4 Model 3/Y Production 422,652 Units, Deliveries 406,585 Units; Q4 Total Production 434,358 Units, Deliveries 418,227 Units; Q4 Other Models Production 11,706 Units, Deliveries 11,642 Units; Q4 Deliveries Visible Alpha Estimate Of 434,487 Units",https://www.benzinga.com/news/26/01/49665741/tesla-2025-total-deliveries-1-64m-units-production-1-65m-units-tesla-inc-2025-deliveries-visible-alp,Benzinga,,49665741
TSLA,benzinga,"Fri, 02 Jan 2026 06:55:23 -0400","XPeng Sees Moderate December Growth, Finishes 2025 Strong",https://www.benzinga.com/trading-ideas/movers/26/01/49663223/xpeng-sees-moderate-december-growth-finishes-2025-strong,Benzinga,,49663223
TSLA,benzinga,"Fri, 02 Jan 2026 06:34:49 -0400",Tesla Rival Nio Caps 2025 With Record Deliveries,https://www.benzinga.com/trading-ideas/movers/26/01/49663066/tesla-rival-nio-caps-2025-with-record-deliveries,Benzinga,,49663066
TSLA,benzinga,"Fri, 02 Jan 2026 06:13:55 -0400",Samsung Says Customers Love Its New AI Chips,https://www.benzinga.com/markets/tech/26/01/49662982/samsung-says-customers-love-its-new-ai-chips,Benzinga,,49662982
TSLA,benzinga,"Fri, 02 Jan 2026 05:18:29 -0400",Did Elon Musk Just Confirm He Is Funding The GOP For Midterms? 'America Is Toast If The...',https://www.benzinga.com/news/politics/26/01/49662690/did-elon-musk-just-confirm-he-is-funding-the-gop-for-midterms-america-is-toast-if-the,Benzinga,,49662690
TSLA,benzinga,"Fri, 02 Jan 2026 04:34:14 -0400",OFV Data Shows Tesla New Car Registrations In Norway Rose 89% Year On Year In December,https://www.benzinga.com/news/26/01/49662503/ofv-data-shows-tesla-new-car-registrations-in-norway-rose-89-year-on-year-in-december,Benzinga,,49662503
TSLA,benzinga,"Fri, 02 Jan 2026 04:33:04 -0400",Mobility Sweden Data Shows Tesla New Car Registrations In Sweden Fell 70.6% Year On Year In December,https://www.benzinga.com/news/26/01/49662492/mobility-sweden-data-shows-tesla-new-car-registrations-in-sweden-fell-70-6-year-on-year-in-december,Benzinga,,49662492
TSLA,benzinga,"Fri, 02 Jan 2026 03:26:46 -0400","Reported Wednesday, Tesla Registrations In France Plunge 66.04% In December As New Car Registrations Fall 5.84%, Industry Body Says",https://www.benzinga.com/news/26/01/49662155/reported-wednesday-tesla-registrations-in-france-plunge-66-04-in-december-as-new-car-registrations-f,Benzinga,,49662155
