rank,symbol,name,exchange,change_pct,last_price,volume,shortable_shares,trade_rate,volume_rate,timestamp
1,TEAH,,,,,,,,,2025-12-30 19:28:56
2,SRAX,,,,,,,,,2025-12-30 19:28:56
3,SNRY,,,,,,,,,2025-12-30 19:28:56
4,TCRRF,,,,,,,,,2025-12-30 19:28:56
5,TRXA,,,,,,,,,2025-12-30 19:28:56
6,WSFL,,,,,,,,,2025-12-30 19:28:56
7,CNTRF,,,,,,,,,2025-12-30 19:28:56
8,BMVVF,,,,,,,,,2025-12-30 19:28:56
9,SETO,,,,,,,,,2025-12-30 19:28:56
10,HQGE,,,,,,,,,2025-12-30 19:28:56
11,OVIT,,,,,,,,,2025-12-30 19:28:56
12,SPSO,,,,,,,,,2025-12-30 19:28:56
13,FMPR,,,,,,,,,2025-12-30 19:28:56
14,HYEG,,,,,,,,,2025-12-30 19:28:56
15,BRVO,,,,,,,,,2025-12-30 19:28:56
16,NRHI,,,,,,,,,2025-12-30 19:28:56
17,VINZF,,,,,,,,,2025-12-30 19:28:56
18,AVPMF,,,,,,,,,2025-12-30 19:28:56
19,CBDG,,,,,,,,,2025-12-30 19:28:56
20,CCCFF,,,,,,,,,2025-12-30 19:28:56
21,CYCA,,,,,,,,,2025-12-30 19:28:56
22,NBRY,,,,,,,,,2025-12-30 19:28:56
23,MRGE,,,,,,,,,2025-12-30 19:28:56
24,MGAM,,,,,,,,,2025-12-30 19:28:56
25,VSTTF,,,,,,,,,2025-12-30 19:28:56
26,VYST,,,,,,,,,2025-12-30 19:28:56
27,ERHE,,,,,,,,,2025-12-30 19:28:56
28,ORGS,,,,,,,,,2025-12-30 19:28:56
29,MDEX,,,,,,,,,2025-12-30 19:28:56
30,GRGG,,,,,,,,,2025-12-30 19:28:56
31,MGWFF,,,,,,,,,2025-12-30 19:28:56
32,GRMC,,,,,,,,,2025-12-30 19:28:56
33,FDVXF,,,,,,,,,2025-12-30 19:28:56
34,DOSEF,,,,,,,,,2025-12-30 19:28:56
35,VINO,,,,,,,,,2025-12-30 19:28:56
36,EVLI,,,,,,,,,2025-12-30 19:28:56
37,ENSV,,,,,,,,,2025-12-30 19:28:56
38,AVRTF,,,,,,,,,2025-12-30 19:28:56
39,SMFL,,,,,,,,,2025-12-30 19:28:56
40,VITFF,,,,,,,,,2025-12-30 19:28:56
41,KNDYF,,,,,,,,,2025-12-30 19:28:56
42,SYRS,,,,,,,,,2025-12-30 19:28:56
43,TWER,,,,,,,,,2025-12-30 19:28:56
44,PCLOF,,,,,,,,,2025-12-30 19:28:56
45,TFGL,,,,,,,,,2025-12-30 19:28:56
46,AJYG,,,,,,,,,2025-12-30 19:28:56
47,ELYS,,,,,,,,,2025-12-30 19:28:56
48,STOCF,,,,,,,,,2025-12-30 19:28:56
49,NSHRF,,,,,,,,,2025-12-30 19:28:56
50,EZES,,,,,,,,,2025-12-30 19:28:56
