rank,symbol,exchange,last_price,bid,ask,open,high,low,close,volume,avg_volume,shortable_shares,trade_count,trade_rate,volume_rate,bid_size,ask_size,last_size,timestamp,news_count,news_source,latest_news,change,change_pct
1,AETHF,,0.4,,,0.4139,0.45,0.4,0.0111,11609.0,,98886.0,8.0,0.0,0.0,,,200.0,2025-12-29 16:21:01,0,B:0 F:0,No news,0.3889,3503.603603603604
2,LMDCF,,0.04,,,0.04,0.04,0.04,0.0015,11000.0,,,,,,,,10000.0,2025-12-29 16:21:01,0,B:0 F:0,No news,0.0385,2566.6666666666665
3,LEJUY,,0.0051,,,0.0051,0.0051,0.0051,0.0002,102.0,,,,,,,,100.0,2025-12-29 16:21:02,0,B:0 F:0,No news,0.004900000000000001,2450.0000000000005
4,XELA,,0.0412,,,0.011,0.0714,0.011,0.0017,10863.0,,126718.0,15.0,0.0,0.0,,,1000.0,2025-12-29 16:21:02,0,B:0 F:0,No news,0.0395,2323.5294117647063
5,HLOC,,0.0045,,,0.0045,0.0045,0.0045,0.0003,10000.0,,122876.0,1.0,0.0,0.0,,,10000.0,2025-12-29 16:21:03,0,B:0 F:0,No news,0.0042,1400.0
6,BLIAQ,,0.013,,,0.0025,0.013,0.0025,0.001,520.0,,246830.0,2.0,0.0,0.0,,,400.0,2025-12-29 16:21:03,0,B:0 F:0,No news,0.012,1200.0
7,NVOS,,0.0027,,,0.0016,0.0027,0.0005,0.0005,18653.0,,379317.0,12.0,0.0,0.0,,,3000.0,2025-12-29 16:21:04,0,B:0 F:0,No news,0.0022,440.00000000000006
8,PBLA,,0.0051,,,0.0051,0.011,0.0051,0.0011,3956.0,,78500.0,3.0,0.0,0.0,,,200.0,2025-12-29 16:21:04,0,B:0 F:0,No news,0.004,363.6363636363636
9,FRCB,,0.002,,,0.0007,0.0083,0.0007,0.0005,245893.0,,2103382.0,220.0,0.0,0.0,,,300.0,2025-12-29 16:21:05,0,B:0 F:0,No news,0.0015,300.0
10,PMHS,,0.7999,,,0.7999,0.7999,0.7999,0.202,1002.0,,,1.0,0.0,0.0,,,1000.0,2025-12-29 16:21:05,0,B:0 F:0,No news,0.5979000000000001,295.99009900990103
11,CLEUF,,0.034,,,0.024,0.034,0.024,0.0101,8639.0,,60747.0,2.0,0.0,0.0,,,4100.0,2025-12-29 16:21:06,0,B:0 F:0,No news,0.023900000000000005,236.63366336633666
12,MDEX,,0.001,,,0.01,0.0135,0.001,0.0003,364050.0,,2000.0,7.0,0.0,0.0,,,290000.0,2025-12-29 16:21:06,0,B:0 F:0,No news,0.0007000000000000001,233.3333333333334
13,HOMU,,0.0006,,,0.0004,0.0006,0.0004,0.0002,11614.0,,1829731.0,4.0,0.0,0.0,,,400.0,2025-12-29 16:21:07,0,B:0 F:0,No news,0.00039999999999999996,199.99999999999997
14,MSBM,,0.1499,,,0.1229,0.1499,0.1229,0.05,15850.0,,24821.0,3.0,0.0,0.0,,,12800.0,2025-12-29 16:21:07,0,B:0 F:0,No news,0.0999,199.8
15,RPGL,,0.6053,0.606,0.6061,0.45,0.8698,0.378,0.2633,5257981.0,,16800.0,635571.0,2.0,5800.0,3700.0,300.0,100.0,2025-12-29 16:21:08,0,B:0 F:0,No news,0.34199999999999997,129.88985947588304
16,NXMH,,0.0259,,,0.01,0.0259,0.01,0.01,461.0,,,,,,,,100.0,2025-12-29 16:21:08,0,B:0 F:0,No news,0.015899999999999997,158.99999999999997
