symbol,shortable_shares
A,4176342
AA,3966157
AAA,4643
AAAC,-1
AACB,348138
AACBR,-1
AACBU,-1
AACG,381004
AADR,17519
AAEQ,-1
AAL,13208456
AALG,4023
AAM,525999
AAME,120269
AAMI,622070
AAOI,1268073
AAON,513905
AAP,406604
AAPB,31749
AAPD,210316
AAPG,21399
AAPL,82706540
AAPU,60340
AARD,1314050
AAT,1226138
AAUC,1914264
AAUS,2900
AAVM,106080
AAXJ,120921
AB,137940
ABAT,1169736
ABBV,8459859
ABCB,848391
ABCL,700404
ABCS,-1
ABEO,2308546
ABEQ,-1
ABEV,12148186
ABG,325048
ABI,-1
ABIG,-1
ABL,1007888
ABLLL,86939
ABM,1275335
ABNB,9358880
ABNG,-1
ABNY,2168
ABOS,784244
ABR,207726
ABSI,287116
ABT,9975863
ABTC,1409163
ABTS,2663
ABUS,5436420
ABVC,113579
ABVX,1599160
ACA,725796
ACAD,2429953
ACB,226062
ACCL,7098
ACCO,3706279
ACCS,599988
ACDC,4880508
ACEI,1600
ACEL,970663
ACEP,-1
ACES,36018
ACFN,104129
ACGL,4781772
ACGLN,574961
ACGLO,143021
ACGR,-1
ACHC,1330555
ACHR,5052561
ACHV,692934
ACI,5131088
ACIC,1076625
ACII,39600
ACIU,763189
ACIW,1980928
ACKY,60596
ACLC,-1
ACLO,-1
ACLS,608402
ACLX,290199
ACM,1539385
ACMR,2829128
ACN,4233084
ACNB,79115
ACNT,218406
ACOG,729763
ACON,11263
ACP,1180733
ACR,207920
ACRE,1992472
ACRS,2032756
ACRV,715961
ACT,342475
ACTG,1612294
ACTU,178400
ACU,49501
ACV,-1
ACVA,5143492
ACVF,41358
ACVT,-1
ACWI,838916
ACWX,51480
ACXP,66140
AD,38648
ADACU,579410
ADAG,296234
ADAM,3456104
ADAMG,234380
ADAMH,116943
ADAMI,130549
ADAML,154318
ADAMM,352858
ADAMN,51555
ADAMZ,104392
ADBE,5714960
ADBG,240274
ADC,948164
ADCT,1910059
ADEA,1959437
ADGM,17490
ADI,4099548
ADIV,-1
ADM,3338504
ADMA,3554466
ADNT,2342951
ADP,4049102
ADPT,1854496
ADPV,11269
ADSE,1158
ADSK,3456390
ADT,14827763
ADTN,418722
ADUR,71848
ADUS,841130
ADV,107527
ADVE,7500
ADX,450383
ADXN,10448
AEAQU,282917
AEBI,2388733
AEC,-1
AEE,2695425
AEF,331385
AEFC,146211
AEG,5748402
AEHL,99704
AEHR,588997
AEI,144389
AEIS,563540
AEM,6718919
AEMD,50873
AENT,16192
AEO,2295677
AEON,2031106
AEP,4527656
AER,2057190
AERO,714057
AES,12553366
AESI,1052006
AETH,-1
AEVA,1271345
AEXA,2279305
AEYE,180713
AFB,431896
AFBI,787824
AFCG,817604
AFG,819301
AFGB,52353
AFGC,79251
AFGD,44492
AFGE,42046
AFIX,-1
AFJK,-1
AFJKR,-1
AFJKU,-1
AFK,120829
AFL,4945575
AFLG,5712
AFMC,-1
AFOS,-1
AFRI,22293
AFRM,2436913
AFSC,45627
AFSM,11600
AFYA,90258
AG,7181367
AGCC,24862
AGCO,599217
AGD,12088
AGEM,11586
AGEN,494920
AGG,5655851
AGGA,-1
AGGH,966210
AGGS,-1
AGGY,2917
AGH,73319
AGI,4196895
AGIG,107670
AGIO,1611936
AGIQ,1300
AGIX,317810
AGL,3570438
AGM,136166
AGMH,54322
AGMI,3326
AGNC,6380697
AGNCL,43395
AGNCM,121198
AGNCN,107974
AGNCO,319574
AGNCP,504334
AGNCZ,495028
AGNG,-1
AGO,1060788
AGOX,1952
AGPU,2742
AGQ,235852
AGQI,5479
AGRH,-1
AGRO,1207507
AGRW,-1
AGRZ,-1
AGX,335346
AGYS,699542
AGZ,23717
AGZD,25280
AHCO,2505407
AHG,79200
AHH,1905039
AHL,1568581
AHLT,50422
AHMA,100855
AHR,2353462
AHT,438182
AHYB,-1
AI,1940337
AIA,5790
AIBD,19265
AIBU,33623
AIEQ,20713
AIFD,22975
AIFF,194714
AIFU,23575
AIG,6696880
AII,265531
AIIA,218315
AIM,42664
AIMD,88083
AIN,916574
AINP,-1
AIO,22608
AIOT,2280056
AIP,789072
AIPI,236295
AIPO,172193
AIQ,36459
AIR,1285278
AIRG,690969
AIRI,86436
AIRJ,-1
AIRO,-1
AIRR,-1
AIRS,-1
AIRT,-1
AIRTP,-1
AIS,-1
AISP,-1
AIT,-1
AIV,-1
AIVC,-1
AIVI,-1
AIVL,-1
AIXC,-1
AIYY,-1
AIZ,-1
AIZN,-1
AJG,-1
AKA,-1
AKAF,-1
AKAM,-1
AKAN,-1
AKBA,-1
AKR,-1
AKRE,-1
AL,-1
ALAB,-1
ALAI,-1
ALAR,-1
ALB,-1
ALC,-1
ALCO,-1
ALCY,-1
ALCYU,-1
ALDF,-1
ALDFU,-1
ALDX,-1
ALEC,-1
ALEX,-1
ALF,-1
ALFUU,-1
ALG,-1
ALGM,-1
ALGN,-1
ALGS,-1
ALGT,-1
ALH,-1
ALHC,-1
ALIL,-1
ALIS,-1
ALISR,-1
ALISU,-1
ALIT,-1
ALK,-1
ALKS,-1
ALKT,-1
ALL,-1
ALLE,-1
ALLO,-1
ALLR,-1
ALLT,-1
ALLW,-1
ALLY,-1
ALM,-1
ALMS,-1
ALMU,-1
ALNT,-1
ALNY,-1
ALOT,-1
ALPS,-1
ALRG,-1
ALRM,-1
ALRS,-1
ALSN,-1
ALT,-1
ALTG,-1
ALTI,-1
ALTL,-1
ALTO,-1
ALTY,-1
ALUR,-1
ALV,-1
ALVO,-1
ALX,-1
ALXO,-1
ALZN,-1
AM,-1
AMAL,-1
AMAT,-1
AMAX,-1
AMBA,-1
AMBO,-1
AMBP,-1
AMBQ,-1
AMBR,-1
AMC,-1
AMCI,-1
AMCR,-1
AMCX,-1
AMD,-1
AMDD,-1
AMDG,-1
AMDL,-1
AMDU,-1
AMDY,-1
AME,-1
AMG,-1
AMGN,-1
AMH,-1
AMID,-1
AMIX,-1
AMJB,-1
AMKR,-1
AMLP,-1
AMLX,-1
AMN,-1
AMOD,-1
AMOM,-1
AMP,-1
AMPG,-1
AMPH,-1
AMPL,-1
AMPX,-1
AMPY,-1
AMR,-1
AMRC,-1
AMRN,-1
AMRX,-1
AMRZ,-1
AMS,-1
AMSC,-1
AMSF,-1
AMT,-1
AMTB,-1
AMTD,-1
AMTM,-1
AMTX,-1
AMUB,-1
AMUN,-1
AMUU,-1
AMWD,-1
AMWL,-1
AMX,-1
AMYY,-1
AMZA,-1
AMZD,-1
AMZE,-1
AMZN,-1
AMZU,-1
AMZY,-1
AMZZ,-1
AN,-1
ANAB,-1
ANDE,-1
ANDG,-1
ANEB,-1
ANEL,-1
ANET,-1
ANEW,-1
ANF,-1
ANGH,-1
ANGI,-1
ANGL,-1
ANGO,-1
ANGX,-1
ANIK,-1
ANIP,-1
ANIX,-1
ANL,-1
ANNA,-1
ANNX,-1
ANPA,-1
ANRO,-1
ANSC,-1
ANSCU,-1
ANTA,-1
ANTX,-1
ANVS,-1
AOA,-1
AOD,-1
AOHY,-1
AOK,-1
AOM,-1
AOMD,-1
AOMN,-1
AOMR,-1
AON,-1
AOR,-1
AORT,-1
AOS,-1
AOSL,-1
AOTG,-1
AOTS,-1
AOUT,-1
AP,-1
APA,-1
APAC,-1
APACR,-1
APACU,-1
APAD,-1
APADR,-1
APADU,-1
APAM,-1
APCB,-1
APD,-1
APEI,-1
APG,-1
APGE,-1
APH,-1
API,-1
APIE,-1
APLD,-1
APLE,-1
APLM,-1
APLS,-1
APLU,-1
APLY,-1
APM,-1
APMU,-1
APO,-1
APOG,-1
APOS,-1
APP,-1
APPF,-1
APPN,-1
APPS,-1
APPX,-1
APRE,-1
APT,-1
APTV,-1
APUE,-1
APUS,-1
APVO,-1
APWC,-1
APXT,-1
