symbol,name,exchange,market_cap,share_outstanding,float_shares,sector,industry,country,currency
A,"Agilent Technologies, Inc.",NYQ,39233622016.0,283498871.0,282526470.0,Healthcare,Diagnostics & Research,United States,USD
AA,Alcoa Corporation,NYQ,14048798720.0,258964032.0,257034750.0,Basic Materials,Aluminum,United States,USD
AAA,Alternative Access First Priority CLO Bond ETF,PCX,,,,,,,USD
AAAC,Columbia AAA CLO ETF,PCX,,,,,,,USD
AAM,AA Mission Acquisition Corp.,NYQ,467883360.0,35349000.0,31941394.0,Financial Services,Shell Companies,United States,USD
AAMI,Acadian Asset Management Inc.,NYQ,1732580352.0,35709120.0,27250344.0,Financial Services,Asset Management,United States,USD
AAP,"Advance Auto Parts, Inc.",NYQ,2475917568.0,60022245.0,59769551.0,Consumer Cyclical,Auto Parts,United States,USD
AAT,"American Assets Trust, Inc.",NYQ,1461622912.0,61152542.0,52068332.0,Real Estate,REIT - Diversified,United States,USD
AB,AllianceBernstein Holding L.P.,NYQ,4329745920.0,90993251.0,90124265.0,Financial Services,Asset Management,United States,USD
ABBV,AbbVie Inc.,NYQ,406463086592.0,1767384632.0,1763938232.0,Healthcare,Drug Manufacturers - General,United States,USD
ABCB,Ameris Bancorp,NYQ,5212600320.0,68315144.0,64130120.0,Financial Services,Banks - Regional,United States,USD
ABEQ,Absolute Select Value ETF,PCX,,,,,,,USD
ABEV,Ambev S.A.,NYQ,37889912832.0,15592556051.0,4253148045.0,Consumer Defensive,Beverages - Brewers,Brazil,USD
ABG,"Asbury Automotive Group, Inc.",NYQ,4747258368.0,19440558.0,14932876.0,Consumer Cyclical,Auto & Truck Dealerships,United States,USD
ABM,ABM Industries Incorporated,NYQ,2612850176.0,60177625.0,59475954.0,Industrials,Specialty Business Services,United States,USD
ABNY,YieldMax ABNB Option Income Str,PCX,,,,,,,USD
ABT,Abbott Laboratories,NYQ,217278889984.0,1738871947.0,1728595214.0,Healthcare,Medical Devices,United States,USD
ACA,"Arcosa, Inc.",NYQ,5408685056.0,49045025.0,48143087.0,Industrials,Engineering & Construction,United States,USD
ACCO,ACCO Brands Corporation,NYQ,336207776.0,90136133.0,86470296.0,Industrials,Business Equipment & Supplies,United States,USD
ACCS,ACCESS Newswire Inc.,ASE,33194536.0,3868826.0,2029161.0,Communication Services,Advertising Agencies,United States,USD
ACEI,Innovator Equity Autocallable I,PCX,,,,,,,USD
ACEL,"Accel Entertainment, Inc.",NYQ,986237440.0,83207946.0,43677515.0,Consumer Cyclical,Gambling,United States,USD
ACES,ALPS Clean Energy ETF,PCX,,,,,,,USD
