rank,symbol,description,last,yahoo_prev_close,pct_change,volume,shortable_shares,trade_rate,volume_rate,computed_volume_per_min,effective_volume_per_min,market_cap,float_shares
1,DXF,EASON TECHNOLOGY LIMITED,2.61,2.0,30.499999999999993,256.0,18430.0,0.0,400.0,0.0,400.0,2123555,1379408
2,AFJK,AIMEI HEALTH TECHNOLOGY CO,90.0,84.5,6.508875739644971,2.0,N/A,0.0,0.0,0.0,0.0,391852128,4396751
3,RUBI,RUBICO INC,1.48,1.09,35.77981651376146,1176.0,23099.0,0.0,1838.0,0.0,1838.0,2628041,102022
4,BFRI,BIOFRONTERA INC,0.7613,0.72,5.736111111111112,317.0,609298.0,0.0,2600.0,0.0,2600.0,6639544,9313999
5,WTO,UTIME LTD-A,1.27,0.6332,100.5685407454201,4247.0,N/A,0.0,700.0,0.0,700.0,1983074,209829
6,FCHL,FITNESS CHAMPS HOLDINGS LTD,0.2873,0.2483,15.706806282722516,5.0,335746.0,0.0,0.0,0.0,0.0,3932100,5451750
7,SIDU,SIDUS SPACE INC-CL A,3.9,2.67,46.06741573033708,10255.0,N/A,0.0,2100.0,104.95652152153406,2100.0,171061824,35040228
8,DVLT,DATAVAULT AI INC,0.7936,0.5165,53.64956437560504,14594.0,1036885.0,0.0,6200.0,0.0,6200.0,185990112,223054071
9,RITR,REITAR LOGTECH HOLDINGS LTD,1.39,1.37,1.4598540145985253,1.0,248164.0,0.0,0.0,0.0,0.0,71818360,17293797
10,SLS,SELLAS LIFE SCIENCES GROUP I,4.43,3.31,33.836858006042284,304.0,N/A,0.0,106.0,0.0,106.0,555857216,141749970
11,SOC,SABLE OFFSHORE CORP,10.56,8.75,20.68571428571429,729.0,131514.0,0.0,400.0,0.0,400.0,1307555456,104708804
12,GOVX,GEOVAX LABS INC,0.1998,0.1719,16.230366492146604,5.0,1748718.0,0.0,0.0,0.0,0.0,7404929,29610006
13,GVH,GLOBAVEND HOLDINGS LTD,1.68,2.93,-42.66211604095564,73.0,N/A,0.0,0.0,0.0,0.0,2197602,72188
14,ITP,IT TECH PACKAGING INC,0.252,0.2316,8.808290155440416,2.0,605144.0,0.0,0.0,0.0,0.0,3710337,16423714
15,YYGH,YY GROUP HOLDING LTD-CLASS A,0.2287,0.2104,8.697718631178699,62.0,691537.0,0.0,176.0,0.0,176.0,12113495,18318618
16,LNKS,LINKERS INDUSTRIES LTD-A,0.3625,0.3225,12.403100775193792,1.0,271447.0,0.0,0.0,0.0,0.0,4292482,5105434
17,TDIC,DREAMLAND LTD-A,0.21,0.1919,9.431995831162068,96.0,38928.0,0.0,9475.0,0.0,9475.0,6867200,8384882
18,CETX,CEMTREX INC,2.92,2.98,-2.0134228187919483,304.0,N/A,0.0,0.0,0.0,0.0,17901210,6911663
19,CUPR,CUPRINA HOLDINGS CAYMAN-A,0.45,0.3803,18.327636076781484,5.0,67570.0,0.0,0.0,0.0,0.0,8582145,7365072
20,SOPA,SOCIETY PASS INC,4.26,3.25,31.07692307692307,536.0,N/A,0.0,2000.0,0.0,2000.0,23200994,5265527
21,NUAI,NEW ERA ENERGY & DIGITAL INC,3.3,2.37,39.24050632911391,125.0,307905.0,0.0,600.0,0.0,600.0,156606080,42386796
22,SMX,SMX SECURITY MATTERS PLC,18.48,51.45,-64.08163265306122,109.0,N/A,0.0,600.0,0.0,600.0,142250592,34625
23,QH,QUHUO LTD-ADR,1.2,1.11,8.108108108108095,5.0,298365.0,0.0,0.0,0.0,0.0,1076341,880490869
24,ENLV,ENLIVEX THERAPEUTICS LTD,0.7809,0.672,16.205357142857142,1.0,N/A,0.0,0.0,0.0,0.0,166926672,23193825
25,CAPT,CAPTIVISION INC,0.38,0.3073,23.657663520989257,154.0,66922.0,0.0,900.0,0.0,900.0,11209273,23071567
26,OFAL,OFA GROUP-A,0.7211,0.6874,4.902531277276688,16.0,40922.0,0.0,0.0,0.0,0.0,9280906,5787767
27,HCTI,HEALTHCARE TRIANGLE INC,0.6984,0.8111,-13.8947108864505,23.0,N/A,0.0,0.0,0.0,0.0,4592800,7249508
28,BIDU,BAIDU INC - SPON ADR,143.78,132.38,8.611572745127667,426.0,1783437.0,0.0,1000.0,0.0,1000.0,45548810240,2112775880
29,BARK,BARK INC,0.66,0.5831,13.188132395815483,148.0,1365824.0,0.0,100.0,0.0,100.0,103384432,104134293
30,TVGN,TEVOGEN BIO HOLDINGS INC,0.3604,0.3388,6.375442739079105,6.0,580894.0,0.0,0.0,0.0,0.0,65786228,25360782
31,CHOW,CHOWCHOW CLOUD INTERNATIONAL,0.66,0.6701,-1.5072377257125797,56.0,239487.0,0.0,0.0,0.0,0.0,21344310,10104250
32,GRI,GRI BIO INC,0.2676,0.2782,-3.810208483105679,468.0,94087.0,0.0,282.0,0.0,282.0,1449224,2881742
33,BYAH,PARK HA BIOLOGICAL TECHNOLOG,0.1722,0.1703,1.1156782149148474,1.0,384297.0,0.0,0.0,0.0,0.0,5386030,17413734
34,BTOG,BIT ORIGIN LTD-CL A,0.186,0.1784,4.260089686098652,194.0,4528552.0,0.0,0.0,0.0,0.0,15373106,58405834
35,BCAB,BIOATLA INC,0.61,0.717,-14.923291492329147,41.0,251720.0,0.0,106.0,0.0,106.0,33376270,45184071
36,VCIG,VCI GLOBAL LTD,0.5669,0.5402,4.942613846723426,47.0,836594.0,0.0,0.0,0.0,0.0,3458945,23620
37,NCL,NORTHANN CORP,0.2935,0.194,51.28865979381442,5803.0,N/A,0.0,6222.0,0.0,6222.0,6211141,12109356
38,FTEL,FITELL CORP-A,0.5246,0.6824,-23.12426729191091,86.0,N/A,0.0,162.0,0.0,162.0,1191680,793042
39,ECDA,ECD AUTOMOTIVE DESIGN INC,0.459,0.5171,-11.235737768323338,34.0,35032.0,0.0,0.0,0.0,0.0,2970827,489163
40,ALCY,ALCHEMY INVESTMENTS ACQUISIT,15.2,12.0845,25.780959079812977,4.0,175466.0,0.0,0.0,0.0,0.0,59796304,795026
41,GAU,GALIANO GOLD INC,2.7,2.59,4.247104247104259,7.0,10662985.0,0.0,0.0,0.0,0.0,661809728,242776761
42,BNBX,BNB PLUS CORP,1.31,1.54,-14.935064935064934,5.0,18455.0,0.0,0.0,0.0,0.0,5369615,4290235
