rank,symbol,description,last,yahoo_prev_close,pct_change,volume,shortable_shares,trade_rate,volume_rate,computed_volume_per_min,effective_volume_per_min,market_cap,float_shares
1,INBS,INTELLIGENT BIO SOLUTIONS IN,N/A,4.1,N/A,0.0,17951.0,0.0,0.0,N/A,0.0,9144359,868434
2,AFJKU,AIMEI HEALTH TECH CO LTD,N/A,66.0,N/A,0.0,N/A,0.0,0.0,N/A,0.0,N/A,4396751
3,ANGH,ANGHAMI INC,N/A,2.49,N/A,0.0,N/A,0.0,0.0,0.0,0.0,34174612,1714143
4,WTO,UTIME LTD-A,N/A,0.6332,N/A,0.0,N/A,0.0,0.0,0.0,0.0,1983074,209829
5,NCL,NORTHANN CORP,N/A,0.194,N/A,0.0,N/A,0.0,0.0,N/A,0.0,6211141,12109356
6,FGMCR,FG MERGER II CORP,N/A,0.412,N/A,0.0,N/A,0.0,0.0,N/A,0.0,N/A,10285813
7,ESHA,ESH ACQUISITION CORP-A,N/A,14.38,N/A,0.0,N/A,0.0,0.0,0.0,0.0,74847672,829763
8,IPEXR,INFLECTION POINT ACQUISITION,N/A,0.5263,N/A,0.0,N/A,0.0,0.0,N/A,0.0,N/A,7965585
9,SSEAR,STARRY SEA ACQUISITION C-RTS,N/A,0.2,N/A,0.0,N/A,0.0,0.0,N/A,0.0,N/A,5799597
10,HSPTR,HORIZON SPACE ACQUISITION II,N/A,0.1266,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,5598819
11,RDACR,RISING DRAGON ACQUISITION CO,N/A,0.19,N/A,0.0,N/A,N/A,N/A,0.0,N/A,N/A,5307533
12,DVLT,DATAVAULT AI INC,N/A,0.5165,N/A,0.0,1063283.0,N/A,N/A,0.0,N/A,185990112,223054071
13,AEI,ALSET INC,N/A,2.74,N/A,0.0,143732.0,N/A,N/A,0.0,N/A,133834080,3706893
14,VNDA,VANDA PHARMACEUTICALS INC,N/A,7.03,N/A,0.0,987688.0,N/A,N/A,0.0,N/A,521232288,49330912
15,NUAI,NEW ERA ENERGY & DIGITAL INC,N/A,2.37,N/A,0.0,313725.0,N/A,N/A,0.0,N/A,156606080,42386796
16,LRE,LEAD REAL ESTATE CO LTD,N/A,1.29,N/A,0.0,113049.0,N/A,N/A,0.0,N/A,21417786,1176750
17,BYFC,BROADWAY FINANCIAL CORP/DE,N/A,6.01,N/A,0.0,156414.0,N/A,N/A,0.0,N/A,68310736,4945560
18,AXSM,AXSOME THERAPEUTICS INC,N/A,148.79,N/A,0.0,837370.0,N/A,N/A,0.0,N/A,9207364608,42498360
19,LPCN,LIPOCINE INC,N/A,6.57,N/A,0.0,45725.0,N/A,N/A,0.0,N/A,44582004,4894138
20,ORIS,ORIENTAL RISE HOLDINGS LTD,N/A,1.22,N/A,0.0,N/A,N/A,N/A,0.0,N/A,54850624,198124
21,BENF,BENEFICIENT - CLASS A,N/A,5.76,N/A,0.0,27146.0,N/A,N/A,0.0,N/A,97539312,843167
22,LBGJ,LI BANG INT CORP I- A,N/A,0.5307,N/A,0.0,213800.0,N/A,N/A,0.0,N/A,12424300,3312022
23,SNSE,SENSEI BIOTHERAPEUTICS INC,N/A,8.8468,N/A,0.0,84224.0,N/A,N/A,0.0,N/A,13457975,854373
24,ESHAR,ESH ACQUISITION CORP - RIGHT,N/A,0.17,N/A,0.0,N/A,N/A,N/A,0.0,N/A,N/A,N/A
25,KLXE,KLX ENERGY SERVICES HOLDING,N/A,1.57,N/A,0.0,1209456.0,N/A,N/A,0.0,N/A,33718460,11602095
26,RDACU,RISING DRAGON ACQUISITION CO,N/A,9.9198,N/A,0.0,N/A,N/A,N/A,0.0,N/A,N/A,5307533
27,LZMH,LZ TECHNOLOGY HDS LTD -CL B,N/A,1.39,N/A,0.0,189731.0,N/A,N/A,0.0,N/A,252436192,4931630
28,ZEO,ZEO ENERGY CORP,N/A,0.9151,N/A,0.0,1032991.0,N/A,N/A,0.0,N/A,130898024,8869264
29,PARK,PARK DENTAL PARTNERS INC,N/A,12.41,N/A,0.0,318700.0,N/A,N/A,0.0,N/A,60392548,1424511
30,ELUT,ELUTIA INC,N/A,0.583,N/A,0.0,1640473.0,N/A,N/A,0.0,N/A,29579112,22295143
31,VBIX,VIEWBIX INC,N/A,1.29,N/A,0.0,5381.0,N/A,N/A,0.0,N/A,16325699,5427922
32,CANG,CANGO INC/KY - CLASS A,N/A,1.27,N/A,0.0,905667.0,N/A,N/A,0.0,N/A,519525568,207225698
33,SLGB,SMART LOGISTICS GLOBAL LTD,N/A,1.06,N/A,0.0,5908.0,N/A,N/A,0.0,N/A,51250000,975600
34,SIDU,SIDUS SPACE INC-CL A,N/A,2.67,N/A,0.0,N/A,N/A,N/A,0.0,N/A,171061824,35040228
35,ALCY,ALCHEMY INVESTMENTS ACQUISIT,N/A,12.0845,N/A,0.0,175266.0,N/A,N/A,0.0,N/A,59796304,795026
36,NSRX,NASUS PHARMA LTD,N/A,7.79,N/A,0.0,62552.0,N/A,N/A,0.0,N/A,82895656,2389042
37,ONDL,DEF DAILY T2XL ONDS ETF,N/A,22.43,N/A,0.0,N/A,N/A,N/A,0.0,N/A,N/A,N/A
38,VTAK,CATHETER PRECISION INC,N/A,1.56,N/A,0.0,115154.0,N/A,N/A,0.0,N/A,3053126,1618574
39,EVGN,EVOGENE LTD,N/A,0.9396,N/A,0.0,182409.0,N/A,N/A,0.0,N/A,10015732,8630466
40,VSME,VS MEDIA HOLDINGS LTD-CL A,N/A,0.086,N/A,0.0,126340.0,N/A,N/A,0.0,N/A,4986107,48507487
41,SOPA,SOCIETY PASS INC,N/A,3.25,N/A,0.0,N/A,N/A,N/A,0.0,N/A,23200994,5265527
