symbol,name,country,exchange,currency,ipo,share_outstanding,float_shares,market_cap
TTSH,"Tile Shop Holdings, Inc.",United States,NCM,USD,,44715001.0,4393.0,164722080.0
CDNL,Cardinal Infrastructure Group Inc.,United States,NMS,USD,,14943750.0,10992.0,905391552.0
VCIG,VCI Global Limited,Malaysia,NCM,USD,,6543598.0,23620.0,4181359.0
SMXWW,SMX (Security Matters) Public Limited Company,Ireland,NCM,USD,,,34625.0,
SMX,SMX (Security Matters) Public Limited Company,Ireland,NCM,USD,,8700342.0,34625.0,1012806848.0
JDZG,JIADE Limited,China,NCM,USD,,2317123.0,38337.0,2863808.0
NEN,New England Realty Associates Limited Partnership,United States,ASE,USD,,2822424.0,64948.0,223305984.0
GDHG,Golden Heaven Group Holdings Ltd.,China,NCM,USD,,2460492.0,89436.0,6203562.0
RUBI,Rubico Inc.,Marshall Islands,NCM,USD,,2456113.0,101546.0,2996458.0
WOK,WORK Medical Technology Group LTD,China,NCM,USD,,960012.0,128312.0,30576.0
DIT,AMCON Distributing Company,United States,ASE,USD,,650709.0,166406.0,68324448.0
BH,Biglari Holdings Inc.,United States,NYQ,USD,,2068640.0,181976.0,1103412608.0
SPHL,Springview Holdings Ltd,Singapore,NCM,USD,,1652204.0,187461.0,3882679.0
JXG,JX Luxventure Group Inc.,China,NCM,USD,,1206262.0,204508.0,9806918.0
WTO,UTime Limited,China,NCM,USD,,1944191.0,209829.0,1234561.0
SVRN,OceanPal Inc.,Greece,NCM,USD,,34300471.0,216478.0,34986480.0
BON,Bon Natural Life Limited,China,NCM,USD,,6086971.0,217703.0,16374745.0
CHSN,Chanson International Holding,China,NCM,USD,,38907905.0,231770.0,81465648.0
SEB,Seaboard Corporation,United States,ASE,USD,,957951.0,245446.0,4190718464.0
SLGL,Sol-Gel Technologies Ltd.,Israel,NCM,USD,,2785787.0,304821.0,116585184.0
KXIN,Kaixin Holdings,China,NCM,USD,,738607.0,308248.0,5451642.0
SPRC,SciSparc Ltd.,Israel,NCM,USD,,3288998.0,332674.0,4834827.0
